grade,caster.id,stand.id,force,avg.width,temperature,entry.gauge,exit.gauge,roller.diameter
Grade01,N,F4,1144.772,42.805,1703.986,0.2516925,0.1921216,665.8711
Grade01,N,F5,782.8187,42.805,1656.674,0.1921216,0.1588971,596.3642
Grade01,N,F1,2125.239,42.7411,1841.191,0.9972973,0.5688586,801.1063
Grade01,N,F2,2111.277,42.7411,1791.053,0.5688586,0.3363368,755.1846
Grade01,N,F3,1366.274,42.7411,1746.719,0.3363368,0.2352064,634.2133
Grade01,N,F4,1168.339,42.7411,1697.892,0.2352064,0.1791565,665.8711
Grade01,N,F5,815.7379,42.7411,1649.145,0.1791565,0.1478672,596.3642
Grade01,N,F1,2125.737,42.7022,1842.276,0.9998581,0.569025,801.1063
Grade01,N,F2,2081.442,42.7022,1792.45,0.569025,0.3370883,755.1846
Grade01,N,F3,1393.442,42.7022,1747.907,0.3370883,0.2346956,634.2133
Grade01,N,F4,1136.756,42.7022,1699.221,0.2346956,0.179207,665.8711
Grade01,N,F5,820.9024,42.7022,1650.048,0.179207,0.147901,596.3642
Grade01,N,F1,2140.524,42.6931,1836.597,1.004149,0.5673535,801.1063
Grade01,N,F2,2073.412,42.6931,1785.82,0.5673535,0.3357942,755.1846
Grade01,N,F3,1383.601,42.6931,1740.58,0.3357942,0.2344245,634.2133
Grade01,N,F4,1115.095,42.6931,1691.12,0.2344245,0.1789086,665.8711
Grade01,N,F5,797.0671,42.6931,1640.727,0.1789086,0.1479629,596.3642
Grade01,N,F1,2182.301,42.7302,1833.29,1.002978,0.5590948,801.1063
Grade01,N,F2,2081.185,42.7302,1785.288,0.5590948,0.3284912,755.1846
Grade01,N,F3,1398.525,42.7302,1742.468,0.3284912,0.2288728,634.2133
Grade01,N,F4,1163.823,42.7302,1695.224,0.2288728,0.1728111,665.8711
Grade01,N,F5,818.7265,42.7302,1647.069,0.1728111,0.1418316,596.3642
Grade01,N,F1,2328.035,42.8263,1839.575,1.008615,0.5510644,801.1063
Grade01,N,F2,2283.077,42.8263,1793.08,0.5510644,0.3256674,755.1846
Grade01,N,F3,1717.902,42.8263,1752.745,0.3256674,0.2226004,634.2133
Grade01,N,F4,1386.531,42.8263,1709.456,0.2226004,0.1675815,665.8711
Grade01,N,F5,1041.203,42.8263,1665.296,0.1675815,0.1373266,596.3642
Grade01,N,F1,3118.497,59.2592,1828.363,1.102011,0.6682644,801.6938
Grade01,N,F2,2997.925,59.2592,1781.278,0.6682644,0.3916679,755.4302
Grade01,N,F3,2065.007,59.2592,1739.505,0.3916679,0.2677183,616.476
Grade01,N,F4,1627.558,59.2592,1694.819,0.2677183,0.2071315,655.2275
